first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost
Will,Dennis,Bournemouth,Goalkeeper,0,0,0,0,40
Francisco Evanilson,de Lima Barbosa,Bournemouth,Forward,15,1,0,352,59
Kristoffer,Ajer,Brentford,Defender,7,0,0,457,45
Ethan,Brierley,Brentford,Midfielder,0,0,0,0,45
Nathan,Collins,Brentford,Defender,15,0,2,540,45
Mikkel,Damsgaard,Brentford,Midfielder,12,0,0,372,50
Josh,Dasilva,Brentford,Midfielder,0,0,0,0,49
Mark,Flekken,Brentford,Goalkeeper,17,0,0,540,45
Rico,Henry,Brentford,Defender,0,0,0,0,44
Aaron,Hickey,Brentford,Defender,0,0,0,0,44
Vitaly,Janelt,Brentford,Midfielder,13,0,0,470,49
Mathias,Jensen,Brentford,Midfielder,9,0,1,238,54
Kim,Ji-soo,Brentford,Defender,0,0,0,0,40
Yunus Emre,Konak,Brentford,Midfielder,2,0,0,16,45
Keane,Lewis-Potter,Brentford,Midfielder,12,0,1,366,50
Bryan,Mbeumo,Brentford,Midfielder,43,5,0,539,74
Ben,Mee,Brentford,Defender,1,0,0,1,43
Christian,Nørgaard,Brentford,Midfielder,7,0,0,360,49
Frank,Onyeka,Brentford,Midfielder,2,0,0,23,49
Myles,Peart-Harris,Brentford,Midfielder,0,0,0,0,45
Ethan,Pinnock,Brentford,Defender,6,0,0,540,45
Mads,Roerslev Rasmussen,Brentford,Defender,6,0,0,260,44
Kevin,Schade,Brentford,Midfielder,12,0,1,295,54
Igor Thiago,Nascimento Rodrigues,Brentford,Forward,0,0,0,0,59
Ivan,Toney,Brentford,Forward,0,0,0,0,73
Hákon,Valdimarsson,Brentford,Goalkeeper,0,0,0,0,40
Yoane,Wissa,Brentford,Forward,28,3,1,290,60
Yehor,Yarmoliuk,Brentford,Midfielder,3,0,0,98,44
Mathias,Jorgensen,Brentford,Defender,0,0,0,0,45
Fábio,Freitas Gouveia Carvalho,Brentford,Midfielder,12,0,1,226,48
Sepp,van den Berg,Brentford,Defender,5,0,0,285,40
Ryan,Trevitt,Brentford,Midfielder,1,0,0,3,45
Gustavo,Nunes Fernandes Gomes,Brentford,Midfielder,0,0,0,0,50
Jayden,Meghoma,Brentford,Defender,0,0,0,0,40
Tony,Yogane,Brentford,Midfielder,0,0,0,0,45
Simon,Adingra,Brighton,Midfielder,14,1,1,134,55
Benicio,Baker-Boaitey,Brighton,Midfielder,0,0,0,0,45
Carlos,Baleba,Brighton,Midfielder,19,1,1,348,50
Valentín,Barco,Brighton,Defender,0,0,0,0,40
Amario,Cozier-Duberry,Brighton,Midfielder,0,0,0,0,45
Mahmoud,Dahoud,Brighton,Midfielder,0,0,0,0,49
Lewis,Dunk,Brighton,Defender,15,0,0,525,46
Julio,Enciso,Brighton,Midfielder,4,0,0,58,54
Pervis,Estupiñán,Brighton,Defender,1,0,0,189,50
Evan,Ferguson,Brighton,Forward,3,0,0,22,55
Billy,Gilmour,Brighton,Midfielder,3,0,0,97,50
Pascal,Groß,Brighton,Midfielder,0,0,0,0,65
Jack,Hinshelwood,Brighton,Midfielder,21,1,0,516,50
Ibrahim,Osman,Brighton,Midfielder,0,0,0,0,50
Igor Julio,dos Santos de Paulo,Brighton,Defender,1,0,0,33,44
João Pedro,Junqueira de Jesus,Brighton,Forward,19,2,0,280,55
Kacper,Kozłowski,Brighton,Midfielder,0,0,0,0,45
Tariq,Lamptey,Brighton,Defender,0,0,0,0,45
Solly,March,Brighton,Midfielder,0,0,0,0,65
Adrian,Mazilu,Brighton,Midfielder,0,0,0,0,45
James,Milner,Brighton,Midfielder,5,0,0,169,50
Yankuba,Minteh,Brighton,Midfielder,14,0,2,319,55
Mitoma,Kaoru,Brighton,Midfielder,26,1,2,531,66
Jakub,Moder,Brighton,Midfielder,0,0,0,0,44
Mark,O’Mahony,Brighton,Forward,0,0,0,0,45
Odeluga,Offiah,Brighton,Defender,0,0,0,0,40
Cameron,Peupion,Brighton,Midfielder,0,0,0,0,45
Jeremy,Sarmiento Morante,Brighton,Midfielder,1,0,0,8,49
Jason,Steele,Brighton,Goalkeeper,9,0,0,180,44
Deniz,Undav,Brighton,Forward,0,0,0,0,55
Jan Paul,van Hecke,Brighton,Defender,19,0,1,450,45
Joël,Veltman,Brighton,Defender,20,0,0,431,45
Bart,Verbruggen,Brighton,Goalkeeper,10,0,0,360,45
Adam,Webster,Brighton,Defender,0,0,0,70,44
Danny,Welbeck,Brighton,Forward,33,3,1,506,58
Mats,Wieffer,Brighton,Midfielder,8,0,1,174,49
Brajan,Gruda,Brighton,Midfielder,0,0,0,0,54
Yasin,Ayari,Brighton,Midfielder,8,0,0,198,50
Andrew,Moran,Brighton,Midfielder,0,0,0,0,50
Carl,Rushworth,Brighton,Goalkeeper,0,0,0,0,40
Georginio,Rutter,Brighton,Midfielder,14,1,0,225,55
Ferdi,Kadioglu,Brighton,Defender,1,0,0,93,45
Matt,O'Riley,Brighton,Midfielder,0,0,0,0,55
Imari,Samuels,Brighton,Defender,0,0,0,0,40
Andrey,Nascimento dos Santos,Chelsea,Midfielder,0,0,0,0,45
Ângelo Gabriel,Borges Damaceno,Chelsea,Midfielder,0,0,0,0,45
Benoît,Badiashile,Chelsea,Defender,0,0,0,0,44
Lucas,Bergström,Chelsea,Goalkeeper,0,0,0,0,40
Marcus,Bettinelli,Chelsea,Goalkeeper,0,0,0,0,40
Moisés,Caicedo Corozo,Chelsea,Midfielder,16,0,1,525,49
Cesare,Casadei,Chelsea,Midfielder,0,0,0,0,45
Ben,Chilwell,Chelsea,Defender,0,0,0,0,48
Carney,Chukwuemeka,Chelsea,Midfielder,0,0,0,0,49
Levi,Colwill,Chelsea,Defender,17,0,0,540,45
Marc,Cucurella Saseta,Chelsea,Defender,14,0,0,500,50
David Datro,Fofana,Chelsea,Forward,0,0,0,0,54
Deivid Washington,de Souza Eugênio,Chelsea,Forward,0,0,0,0,50
Kiernan,Dewsbury-Hall,Chelsea,Midfielder,3,0,0,44,57
Axel,Disasi,Chelsea,Defender,7,0,0,94,44
Enzo,Fernández,Chelsea,Midfielder,10,0,0,431,49
Conor,Gallagher,Chelsea,Midfielder,0,0,0,0,59
Alfie,Gilchrist,Chelsea,Defender,0,0,0,0,40
Malo,Gusto,Chelsea,Defender,4,0,0,343,49
Reece,James,Chelsea,Defender,0,0,0,0,50
Omari,Kellyman,Chelsea,Midfielder,0,0,0,0,44
Roméo,Lavia,Chelsea,Midfielder,3,0,0,76,45
Romelu,Lukaku Bolingoli,Chelsea,Forward,0,0,0,0,63
Malang,Sarr,Chelsea,Defender,0,0,0,0,45
Noni,Madueke,Chelsea,Midfielder,33,3,1,387,66
Marc,Guiu Paz,Chelsea,Forward,1,0,0,24,49
Mykhailo,Mudryk,Chelsea,Midfielder,3,0,0,80,63
Nicolas,Jackson,Chelsea,Forward,40,4,3,441,79
Christopher,Nkunku,Chelsea,Midfielder,12,1,0,116,61
Cole,Palmer,Chelsea,Midfielder,61,6,4,505,107
Đorđe,Petrović,Chelsea,Goalkeeper,0,0,0,0,44
Renato,Palma Veiga,Chelsea,Midfielder,5,0,0,127,45
Robert,Sánchez,Chelsea,Goalkeeper,32,0,0,540,47
Tosin,Adarabioyo,Chelsea,Defender,7,0,0,118,44
Wesley,Fofana,Chelsea,Defender,10,0,0,506,45
Jadon,Sancho,Chelsea,Midfielder,16,0,4,171,64
Pedro,Lomba Neto,Chelsea,Midfielder,8,0,1,239,63
Caleb,Wiley,Chelsea,Defender,0,0,0,0,40
Filip,Jørgensen,Chelsea,Goalkeeper,0,0,0,0,43
João,Félix Sequeira,Chelsea,Midfielder,8,1,0,109,63
Eddie,Nketiah,Crystal Palace,Forward,6,0,0,227,59
Trevoh,Chalobah,Crystal Palace,Defender,0,0,0,0,44
Naouirou,Ahamada,Crystal Palace,Midfielder,0,0,0,0,45
Cheick,Doucouré,Crystal Palace,Midfielder,6,0,1,91,49
Chris,Richards,Crystal Palace,Defender,9,0,0,343,45
